name_en,name_he,name_ar,front
Abasan,עבסנים,عبسان,Gaza Strip
Al-Amal,אל-אמל,الأمل,Gaza Strip
Al-Atatra,אל-עטאטרה,العطاطرة,Gaza Strip
Al-Bureij,אל-בוריג',البريج,Gaza Strip
Al-Furqan,אל-פורקאן,الفرقان,Gaza Strip
Al-Jalaa,אל-ג'לאא,الجلاء,Gaza Strip
Al-Jaran,אל-ג'רן,الجرن,Gaza Strip
Al-Karara,אל-קרארה,القرارة,Gaza Strip
Al-Maghazi,אל-מע'אזי,المغازي,Gaza Strip
Al-Mawasi,אל-מוואסי,المواسي,Gaza Strip
Al-Mughraqa,אל-מועארקה,المغراقة,Gaza Strip
Al-Nahda,אל-נהצ'ה,النهضة,Gaza Strip
Al-Nozha,אל-נזהה,النزهة,Gaza Strip
Al-Nur,אל-נור,النور,Gaza Strip
Al-Rodha,אל-רוצ'ה,الروضة,Gaza Strip
Al-Salam,אל-סלאם,السلام,Gaza Strip
Al-Zahur,אל-זהור,الزهور,Gaza Strip
Bakshi,בקשי,بخشى,Gaza Strip
Beit Hanoun,בית חאנון,بيت حانون,Gaza Strip
Beit Lahia,בית לאהיא,بيت لاهيا,Gaza Strip
Daraj Tuffah,דרג' תופאח,الدرج والتفاح,Gaza Strip
Deir al-Balah,דיר אל-בלאח,دير البلح,Gaza Strip
Ezbet Mlin,עזבת מלין,عزبة ملين,Gaza Strip
Gaza City,עזה,غزة,Gaza Strip
Hamad,חמד,حمد,Gaza Strip
Jabalia,ג'באליה,جباليا,Gaza Strip
Khan Yunis,חאן יונס,خان يونس,Gaza Strip
Khirbat Ikhza'a,ח'רבת אחזעה,خزاعة,Gaza Strip
Nuseirat,נוסיראת,النصيرات,Gaza Strip
Officer's Neighbourhood,שכונת הקצינים,حي الضباط,Gaza Strip
Rafah,רפיח,رفح,Gaza Strip
Rimal,רימאל,الرمال,Gaza Strip
Sabra,צברא,الصبرة,Gaza Strip
Sajaiyya,סג'עיה,السجاعية,Gaza Strip
Salah al-Din,צלאח א-דין,صلاح الدين,Gaza Strip
Shabura,שבורה,الشابورة,Gaza Strip
Sheikh Ejlin,שיח' עג'לין,الشيخ عجلين,Gaza Strip
Sheikh Radwan,שיח' רדואן,الشيخ رضوان,Gaza Strip
Sheikh Zayed,שיח' זאיד,الشيخ زايد,Gaza Strip
Shejaiya,שג'אעיה,الشجاعية,Gaza Strip
Tel al-Sultan,תל אל-סלטאן,تل السلطان,Gaza Strip
Tel al-Zaatar,תל אל-זעתר,تل الزعتر,Gaza Strip
Wadi Gaza,ואדי עזה,وادي غزة,Gaza Strip
Zeytoun,זייתון,الزيتون,Gaza Strip
Ahvaz,אהווז,الأحواز,Iran
Bushehr,בושהאר,بوشهر,Iran
Dezful,דזפול,دزفول,Iran
Hamadan,המדאן,همدان,Iran
Isfahan,אצפהאן,أصفهان,Iran
Karaj,כרג',كرج,Iran
Kermanshah,כרמנשאה,كرمانشاه,Iran
Mashhad,משהד,مشهد,Iran
Natanz,נטנז,نطنز,Iran
Shiraz,שיראז,شيراز,Iran
Tabriz,טבריז,تبريز,Iran
Tehran,טהראן,طهران,Iran
Yazd,יזד,يزد,Iran
A-Dik,א-דיק,كفر الديك,Judea & Samaria
A-Zawaydin,א-זווידין,الزوايدين,Judea & Samaria
Abu Dis,אבו דיס,أبو ديس,Judea & Samaria
Abu Snina,אבו סנינה,أبو سنينة,Judea & Samaria
Abush,עבוש,كفر عبوش,Judea & Samaria
Al-Amari,אלעמרי,الأمعري,Judea & Samaria
Al-Bireh,אל בירה,البيرة,Judea & Samaria
Al-Fahas,אל פאחס,الفحص,Judea & Samaria
Al-Fawwar,אל-פוואר,الفوار,Judea & Samaria
Al-Khader,אל-ח'אדר,الخضر,Judea & Samaria
Al-Lubban,א-לובן,اللبن,Judea & Samaria
Al-Mughayyir,אל-מוע'ייר,المغير,Judea & Samaria
Al-Yamun,אל-יאמון,اليامون,Judea & Samaria
Amejun,עמג'ון,أمجون,Judea & Samaria
Aqaba,עקבה,عقبة,Judea & Samaria
Aqabat Jaber,עקבת ג'אבר,عقبة جبر,Judea & Samaria
Ar-Ram,א-רם,الرام,Judea & Samaria
Arraba,עראבה,عرابة,Judea & Samaria
Arrura,ערורה,عارورة,Judea & Samaria
Attara,עטארה,عطارة,Judea & Samaria
Az-Zababdeh,א-זבאבדה,الزبابدة,Judea & Samaria
Azzun,עזון,عزون,Judea & Samaria
Bala'a,בלעה,بلعا,Judea & Samaria
Bani Na'im,בני נעים,بني نعيم,Judea & Samaria
Bazaria,בזאריה,بزاريا,Judea & Samaria
Beit Anun,בית ענון,بيت عينون,Judea & Samaria
Beit Awwa,בית עווא,بيت عوا,Judea & Samaria
Beit Fajjar,בית פג'ר,بيت فجار,Judea & Samaria
Beit Kahil,בית כחיל,بيت كاحل,Judea & Samaria
Beit Rima,בית רימא,بيت ريما,Judea & Samaria
Beit Sahour,בית סאחור,بيت ساحور,Judea & Samaria
Beit Ummar,בית אומר,بيت أمر,Judea & Samaria
Bethlehem,בית לחם,بيت لحم,Judea & Samaria
Bidyah,בידיא,بديا,Judea & Samaria
Burqin,ברוקין,برقين,Judea & Samaria
Dahariya,דאהרייה,الظاهرية,Judea & Samaria
Deir Abu Mash'al,דיר אבו משעל,دير أبو مشعل,Judea & Samaria
Deir Ammar,דיר עמאר,دير عمار,Judea & Samaria
Deir Dibwan,דיר דיבוואן,دير دبوان,Judea & Samaria
Deir Ibzi',דיר איבזיע,دير إبزيع,Judea & Samaria
Doha,דוחה,الدوحة,Judea & Samaria
Dura,דורא,دورا,Judea & Samaria
Ein Beit Ilma,עין בית אילמא,عين بيت الماء,Judea & Samaria
Ein Umm ash-Sharayit,עין אום אשרייט,أم الشرايط,Judea & Samaria
Ein as-Sultan,עין א-סולטאן,عين السلطان,Judea & Samaria
Einas,עינאבוס,عينابوس,Judea & Samaria
Fahma,פחמה,فحمة,Judea & Samaria
Fara'a,פרעה,الفارعة,Judea & Samaria
Funduq,פונדוק,الفندق,Judea & Samaria
Fureidis,פורדיס,الفريديس,Judea & Samaria
Habla,חבלה,حبلة,Judea & Samaria
Halhul,חלחול,حلحول,Judea & Samaria
Harmala,הרמלה,حرملة,Judea & Samaria
Hebron,חברון,الخليل,Judea & Samaria
Huwwara,חווארה,حوارة,Judea & Samaria
Immatin,אימאתין,إماتين,Judea & Samaria
Izbat Shufa,עזבת שופה,عزبة شوفة,Judea & Samaria
Jaba,ג'בע,جبع,Judea & Samaria
Jalazone,ג'ילזון,الجلزون,Judea & Samaria
Jenin,ג'נין,جنين,Judea & Samaria
Jericho,יריחו,أريحا,Judea & Samaria
Kfar Dan,כפר דאן,كفردان,Judea & Samaria
Kfar Jamal,כפר ג'מאל,كفر جمال,Judea & Samaria
Kfar Ni'ma,כפר נעמה,كفر نعمة,Judea & Samaria
Kfar Qalil,כפר קליל,كفر قليل,Judea & Samaria
Kfar Qatanna,קטנה,قطنة,Judea & Samaria
Kfar Qud,כפר קוד,كفر قود,Judea & Samaria
Khirbat al-Luzia,ח'רבת אל-לוזיה,خربة اللوزية,Judea & Samaria
Khirbat al-Marjam,ח'רבת אל מרג'אם,خربة المرجم,Judea & Samaria
Kibya,קיביא,قبية,Judea & Samaria
Kiryat Arba,קריית ארבע,كريات أربع,Judea & Samaria
Kobar,כובאר,كوبر,Judea & Samaria
Madama,מדמא,مادما,Judea & Samaria
Mazar'i al-Qibliya,מזרעה אל קבליה,المزرعة القبلية,Judea & Samaria
Nablus,שכם,نابلس,Judea & Samaria
Nahalin,נחאלין,نحالين,Judea & Samaria
Nur al-Shams,נור א-שמס,نور شمس,Judea & Samaria
Qabatiya,קבטיה,قباطية,Judea & Samaria
Qaffin,קפין,قفين,Judea & Samaria
Qalqas,קלקס,قلقس,Judea & Samaria
Qalqilya,קלקיליה,قلقيلية,Judea & Samaria
Ramallah,רמאללה,رام الله,Judea & Samaria
Ramon,רמון,رمون,Judea & Samaria
Rantis,רנתיס,رنتيس,Judea & Samaria
Rumana,רומאנה,رمانة,Judea & Samaria
Sabah al-Khair,סבאח אל-ח'יר,صباح الخير,Judea & Samaria
Sair,סעיר,سعير,Judea & Samaria
Salfit,סלפית,سلفيت,Judea & Samaria
Shuafat,שועפאט,شعفاط,Judea & Samaria
Shuqba,שוקבא,شقبا,Judea & Samaria
Silat al-Dhahr,סילת א-דהר,سيلة الظهر,Judea & Samaria
Surif,צוריף,صوريف,Judea & Samaria
Tammun,טמון,طمون,Judea & Samaria
Telfit,תלפית,تلفيت,Judea & Samaria
Tubas,טובאס,طوباس,Judea & Samaria
Tulkarm,טול כרם,طولكرم,Judea & Samaria
Ubeidiya,עובידייה,العبيدية,Judea & Samaria
Um al-Khair,אום אל-חיר,أم الخير,Judea & Samaria
Umm Safa,אום צפה,أم صفا,Judea & Samaria
Urif,עוריף,عوريف,Judea & Samaria
Wadi Burqin,ואדי ברוקין,وادي برقين,Judea & Samaria
Yatta,יטא,يطا,Judea & Samaria
Zatara,זעתרה,زعترة,Judea & Samaria
Zubaidat,זבידאת,زبيدات,Judea & Samaria
Ainata,עינתא,عيناتا,Lebanon
Aitaroun,עיתרון,عيترون,Lebanon
Al-Jabin,אל-ג'בין,الجبين,Lebanon
Al-Matmura,אל-מטמורה,المطمورة,Lebanon
Alma al-Shaab,עלמא א-שעב,علما الشعب,Lebanon
Ayta ash-Shab,עייתא א-שעב,عيتا الشعب,Lebanon
Baalbek,בעלבכ,بعلبك,Lebanon
Beirut,ביירות,بيروت,Lebanon
Beit Yahoun,בית יהון,بيت ياحون,Lebanon
Bekaa Valley,הבקעא,سهل البقاع,Lebanon
Bint Jbeil,בינת ג'בל,بنت جبيل,Lebanon
Blida,בליידא,بليدا,Lebanon
Burj al-Shemali,בורג' א-שמאלי,برج الشمالي,Lebanon
Cana,כפר קאנא,قانا,Lebanon
Dahieh,דאחייה,الضاحية,Lebanon
Faron,פארון,فرون,Lebanon
Hanin,חנין,حنين,Lebanon
Houla,חולא,حولا,Lebanon
Kfar Kila,כפר כילא,كفركلا,Lebanon
Khiam,אל-חיאם,الخيام,Lebanon
Khirbet Selm,ח'רבת סלם,خربة سلم,Lebanon
Labbouneh,לבונה,اللبونة,Lebanon
Marjayoun,מרג'עיון,مرجعيون,Lebanon
Markaba,מרכבא,مركبا,Lebanon
Maroun al-Ras,מארון א-ראס,مارون الراس,Lebanon
Marwahin,מרווחין,مروحين,Lebanon
Mays al-Jabal,מיס אל ג'בל,ميس الجبل,Lebanon
Muhaibib,מחייביב,محيبيب,Lebanon
Nabatieh,נבטיה,النبطية,Lebanon
Nafakhiyeh,נפח'יה,النفاخية,Lebanon
Naqoura,א-נקורה,الناقورة,Lebanon
Ni'mat al-Fawqa,נעמת אל-פוקא,نعمات الفوقا,Lebanon
Odaisseh,אל עדייסא,العديسة,Lebanon
Rabb al-Thalathin,רב א-תלתין,رب ثلاثين,Lebanon
Rachaiya Al-Foukhar,רשיא אל פוחאר,راشيا الفخار,Lebanon
Remiah,רמיה,رامية,Lebanon
Rmeish,רמיש,رميش,Lebanon
Shebaa,שבעא,شبعا,Lebanon
Shibriha,שבריחה,شبريحا,Lebanon
Shuba,כפר שובא,كفرشوبا,Lebanon
Sidon,צידון,صيدا,Lebanon
Tair Harfa,טיר חרפא,طير حرفا,Lebanon
Taybeh,טייבה,الطيبة,Lebanon
Tebnine,תבנין,تبنين,Lebanon
Tsideqin,זבקין,زبقين,Lebanon
Tyre,צור,صور,Lebanon
Yarin,יארין,يارين,Lebanon
Yaroun,ירון,يارون,Lebanon
Yater,יעטר,ياطر,Lebanon
As-Suwayda,א-סווידא,السويداء,Syria
Damascus,דמשק,دمشق,Syria
Daraa,דרעא,درعا,Syria
Hama,חמא,حماة,Syria
Khadar,ח'דר,حضر,Syria
T4,T4,تي فور,Syria
Tadmor,תדמור,تدمر,Syria
Tasil,תסיל,تسيل,Syria
Al-Jawf,אל-ג'וף,الجوف,Yemen
Al-Salif,א-סליף,الصليف,Yemen
Hodeidah,חודידה,الحديدة,Yemen
Ras Isa,ראס עיסא,رأس عيسى,Yemen
Sa'dah,סעדה,صعدة,Yemen
Sana'a,צנעא,صنعاء,Yemen
